CpG	GSM3589655	GSM3589656	GSM3589657	GSM3589658	GSM3589659	GSM3589660	GSM3589661	GSM3589662	GSM3589663	GSM3589664	GSM3589665	GSM3589666	GSM3589667	GSM3589668	GSM3589669	GSM3589670	GSM3589671	GSM3589672	GSM3902399	GSM3902400	GSM3902401	GSM3902402	GSM3902403	GSM3902404	GSM3902405	GSM3902406	GSM3902407	GSM3902408	GSM3902409	GSM3902410	GSM3902411	GSM3902412	GSM3902413	GSM3902414	GSM3902415	GSM3902416	GSM3902417	GSM3902418	GSM3902419	GSM3902420	GSM3902421	GSM3902422	GSM3902423	GSM3902424	GSM3902425	GSM3902426	GSM3902427	GSM3902428	GSM3902429	GSM3902430	GSM3902431	GSM3902432	GSM3902433	GSM3902434	GSM3902435	GSM3902436	GSM3902437	GSM3902438	GSM3902439	GSM3902440	GSM3902441	GSM3902442	GSM3902443	GSM3902444	GSM3902445	GSM3902446	GSM3902447	GSM3902448	GSM3902449	GSM3902450	GSM3902451	GSM3902452	GSM3902453	GSM3902454	GSM3902455	GSM3902456	GSM3902457	GSM3902458
cg27579233	0.301735351913869	0.0811608670535194	0.498433529861608	0.620529603325116	0.193408964122128	0.475150558842866	0.477120908028855	0.635615715970161	0.337032309192056	0.766129898538129	0.705355828199851	0.312129043969402	0.68873512324098	0.785584520802554	0.626385562031479	0.490465819982606	0.855967271636294	0.558877665173233	0.793545244635167	0.83248373950425	0.634603611999942	0.341972364757388	0.727772811233596	0.466140054172056	0.244816794434881	0.638588840594263	0.693080551496476	0.53019826602561	0.632476645600938	0.677226494090904	0.641372367122818	0.178949855907781	0.230273872826226	0.382060746495157	0.776463733620935	0.20524220457945	0.420596642426403	0.561784121691297	0.562911018496129	0.280491817262347	0.766004807676323	0.729341531597574	0.598833391574153	0.399249140297189	0.142274411202204	0.229657244199935	0.325408883523023	0.369471857362869	0.516748770113679	0.353441472801176	0.743550924752036	0.671134427655041	0.385530342109349	0.508447908456666	0.546916622841842	0.49760549586249	0.529860579732112	0.532966445821757	0.559337396376221	0.637290924532308	0.533226282410195	0.610811609931306	0.46256309157631	0.623327446757862	0.463205622723428	0.82917149819864	0.271668762947618	0.293223500954427	0.654635787497066	0.366643510885885	0.788909852805043	0.514530418415473	0.589070107639571	0.722366781654984	0.474633902065863	0.420359578275378	0.540542382876592	0.0829318577709673
cg05631519	0.334844879963438	0.876935583287923	0.385717454235357	0.171119311884607	0.754044695456894	0.365703957457467	0.249695395915785	0.256544453301339	0.279822191840577	0.205851319114097	0.342858102773438	0.61242995881068	0.252708180818437	0.13154357290155	0.336415729787206	0.324281226426805	0.0951633725342815	0.315400197353167	0.191646740986865	0.0751652304193984	0.416467734706298	0.338816325648896	0.320549810145163	0.346564106174752	0.753000025958927	0.43871509798941	0.296895404571353	0.50632829073176	0.543898601965682	0.297527199381354	0.485640942783437	0.58911398883883	0.803662379058317	0.44671038175156	0.169554562259523	0.386878098127596	0.515614414270065	0.485289064258884	0.564544721998388	0.745889566393898	0.286775554969809	0.518871191135734	0.576316863425628	0.676404608187749	0.787285742059775	0.609986129839365	0.418725372976769	0.556496985272314	0.261725026975322	0.635340506242468	0.485151203475854	0.567248660936688	0.479082790900637	0.513912869822627	0.379601148585641	0.651992764003372	0.402735325715853	0.715139126325371	0.557424490161147	0.50002676117932	0.550614544802076	0.427998797474697	0.468552646944254	0.259657745881174	0.339839564978621	0.304042039148264	0.550250897810606	0.564782025660888	0.537305379990751	0.56931627478604	0.589670477499341	0.441249451051902	0.373924195470009	0.0651764873533954	0.422440785732393	0.491297212076258	0.499831444798998	0.833638119544189
cg14155265	0.84053740085972	0.884952771910247	0.758088357236078	0.484512129556945	0.823702121831921	0.63748724148524	0.669228498341001	0.801752191372293	0.39793922068987	0.729075317510546	0.689154992146472	0.815669233983573	0.594333429893403	0.325350180193306	0.813585859238545	0.476745927525694	0.282598260155809	0.627926872143443	0.758218577442848	0.296289457560828	0.663928419695989	0.588806835116071	0.465221071530828	0.719041205306103	0.901505329475681	0.705693829507185	0.651681808658553	0.787251488798054	0.315196550113911	0.776462692005293	0.80377678206648	0.847353703424755	0.856171601903133	0.756576309904113	0.59063788937984	0.750005371097615	0.757362372850937	0.750393339717508	0.751468116598943	0.775064937887861	0.650849877804322	0.810044474555528	0.82461861082502	0.58658294426161	0.886230735763125	0.742701940035273	0.757157051206453	0.637522822443659	0.633369100504359	0.740056330214546	0.71499553784112	0.316013484721266	0.739007970177903	0.860988395809646	0.741966811215383	0.832481565164473	0.551756449368902	0.351394407976269	0.729733878447592	0.836516642273162	0.2512685524029	0.708685728029682	0.853758212877792	0.489313525266487	0.669928263616068	0.367514353998884	0.607347637487743	0.702158010023098	0.691997562233369	0.72863812700806	0.593856630564712	0.448541320651557	0.648522056004544	0.62317065143459	0.732923588039867	0.763484096825617	0.797981075330302	0.87858125094309
cg20214404	0.522538341894275	0.807934766493699	0.544856510696773	0.3160036616137	0.726292207788585	0.496700065180155	0.454144934162627	0.465786869053328	0.84673944792403	0.211517431500069	0.371075288889698	0.789289676501523	0.186182384465703	0.22942376987131	0.706707264063852	0.382732469169142	0.165446156628651	0.339674433270645	0.100256243945418	0.119725745822129	0.314342878069973	0.749933694303215	0.391770096678143	0.53340294122852	0.62078935064426	0.328952639618253	0.528029082056406	0.433645334215242	0.42097902253267	0.290956024284898	0.599370438703587	0.727745223647956	0.829624821528984	0.47387587758328	0.320464025362023	0.767095823321271	0.514324306519703	0.509305553415929	0.607555063457341	0.757852879213483	0.215071447935149	0.638973570989551	0.417300309218382	0.71483309151194	0.688451672939418	0.676596076166844	0.485978396052409	0.401848547508138	0.508238523440605	0.677025039348902	0.40269464974084	0.650156688481059	0.558516505160325	0.786050179373493	0.728622243514123	0.818574015636618	0.404603232472969	0.715453049690169	0.508649364230012	0.429666386245334	0.359359083235702	0.51304491073451	0.584559023066486	0.300096299748428	0.503167720955817	0.168237643008133	0.561440708558303	0.629238831416485	0.586334114158023	0.533335571688031	0.765053864103784	0.494717701362569	0.303002897031757	0.537281883324319	0.407184687625431	0.422487422620414	0.421179759967398	0.827215573776341
cg11386231	0.328406839527079	0.811327192084613	0.382061458652382	0.49894688343316	0.714959977484604	0.521166261275429	0.334059407378364	0.325252910860851	0.189922775585344	0.336669223179661	0.37032034398145	0.762748289182141	0.28091030470492	0.137752926857771	0.49738546753862	0.408130774405933	0.365000976726493	0.422506609297111	0.178622502126987	0.297165861188744	0.365393989889279	0.706579273225577	0.472738094522368	0.543688827021465	0.515693291046861	0.403463509185589	0.251903326265571	0.376669112252384	0.462357170417515	0.378608668512951	0.72392859199785	0.7136709148062	0.833726707210153	0.553724735131871	0.295720572253203	0.364943862807333	0.675820770279677	0.476341495506041	0.697759257803286	0.750583266633743	0.288987386066352	0.654905364355576	0.33301543315399	0.62206289010034	0.51647455214361	0.577939754657597	0.457159077937916	0.481547250606297	0.552832096153666	0.732614405231941	0.20666062190918	0.649216085972213	0.572057314636473	0.714485646341325	0.729750895528882	0.882788830435648	0.389135941666698	0.507129375034004	0.568432225493176	0.206318925089419	0.157109916342537	0.509297002155616	0.648683813546538	0.436708770933863	0.298754850112536	0.374148726519819	0.582999494904707	0.665828786543089	0.541235428894832	0.29440603945838	0.728089918417845	0.599469208922139	0.371342627941909	0.440658549886574	0.35689471302999	0.436267307945216	0.295077367024391	0.783996517948514
cg03915752	0.193711793044816	0.645739164816995	0.24892534420735	0.108123591255653	0.575709552546613	0.237730375943052	0.228499304539804	0.153115791116259	0.607507264350616	0.140644939628939	0.307108414622101	0.577224839776419	0.151271518835304	0.145714336463728	0.325755984190969	0.271514695459676	0.0873535262120912	0.214055580754825	0.113451099650578	0.0565079879130915	0.211717937936876	0.354098540931952	0.217592592592593	0.342928859568968	0.147105033459412	0.183791614446532	0.258013537447892	0.276154504652558	0.340586312062237	0.229333271673653	0.370378197196105	0.190197725065684	0.705269590494257	0.319651035750694	0.149419459648862	0.456398396695051	0.455646671325661	0.314354858940337	0.486429881777415	0.510501301465862	0.12070730652091	0.451129027427212	0.265417170495768	0.62864462148158	0.33828737741517	0.492367506707129	0.380421794606005	0.367600442122606	0.26835373475932	0.633107667856354	0.186296089577744	0.602146236545038	0.270602456020858	0.48708961753821	0.315003120931334	0.347629031503796	0.321571492691458	0.556490930192045	0.275405913978495	0.0999539185898744	0.111126623309305	0.321683025042728	0.427407216956468	0.230324159286287	0.219447021336668	0.140672824974646	0.401344386821889	0.529381625907242	0.530664079221484	0.280115675703381	0.521951575132869	0.1192850188057	0.198800182115215	0.316211675205223	0.276265974122586	0.266088619483681	0.17917466780287	0.760643831983517
cg04989278	0.447921783094298	0.801234673341524	0.584656288680439	0.322428055060936	0.692306367688294	0.465992986656514	0.453621244226284	0.242443752699838	0.568279901101787	0.231248751029113	0.429131777111848	0.68375651057038	0.346233904304972	0.207815135426033	0.278500985861326	0.362729944429549	0.131886618886096	0.314696215917973	0.286891089892476	0.0885230665250336	0.370328417177904	0.731965072399186	0.375711782652557	0.479337268797884	0.666302427549762	0.418366802537202	0.516021813101381	0.374348651214654	0.423485275165863	0.353528532578081	0.653377196923098	0.806869090401591	0.761538948568052	0.467169980461485	0.37074220531915	0.691665002276239	0.513847748727996	0.438514227404545	0.590821324381263	0.741285065945575	0.229768617159487	0.622819609845373	0.352473143803318	0.719671350696309	0.525596508601811	0.602491928178207	0.502258448615976	0.441023850391993	0.486596861506917	0.63875524669156	0.233635955742666	0.595608358867975	0.519564560387024	0.750307303534315	0.71261202445249	0.834636093395571	0.44853544396273	0.627478004279152	0.508239739102768	0.270895119298827	0.217447944097651	0.517354510703892	0.576877572471875	0.255076666725488	0.49350758396533	0.196473792236885	0.506506751609269	0.616684644027004	0.656640355928025	0.461203487933734	0.734440017185872	0.550277817492176	0.271294647319542	0.380186289231018	0.420232765178582	0.302550259511827	0.451408685615157	0.764735473839367
cg18447488	0.736263326201902	0.903506709578572	0.56826444130253	0.26160771158011	0.706251039556978	0.600667242560543	0.512350896966282	0.630442696648239	0.936272391380875	0.554069989826414	0.352453282963902	0.851706630935171	0.411006665073422	0.872467459401938	0.829207873443388	0.544632329295744	0.134002478421391	0.489663205761455	0.391420008476179	0.234614854957998	0.222535753759587	0.763139727330084	0.278405018192156	0.588348460166007	0.815050895013591	0.527182882657268	0.723607555385329	0.694468108357818	0.618666702493551	0.550850616912583	0.734717501341724	0.772509175648121	0.876802397684994	0.600032981606947	0.354854762344845	0.633168887369256	0.731401243998426	0.612099330380571	0.722650211022759	0.767323856129067	0.30589636937483	0.749688125818325	0.55305212430067	0.819386442131877	0.861867804378025	0.794857869910626	0.724114414786178	0.542274107900996	0.565750918136118	0.786758590694162	0.71135707775322	0.422412651571042	0.653808098153243	0.832348101284863	0.777394846291301	0.757659578185885	0.654295263160056	0.750609720148378	0.670067623680152	0.154648568177052	0.637694637677729	0.723696351105108	0.672711657865723	0.402026208292214	0.590436443469887	0.316691235338222	0.678021202550096	0.436535117553602	0.647720151781771	0.735895910319648	0.530050497087746	0.191519718726437	0.486501716719195	0.576137741725389	0.572352230622417	0.670094509938541	0.700763875540103	0.841593525290692
cg04120734	0.887345847022182	0.285393651951842	0.853706416566549	0.487241155967884	0.752425951592785	0.804155312963661	0.890187953047841	0.559649536277383	0.831110014558654	0.862920200265659	0.463986878030277	0.842048570212268	0.745795631536008	0.317561299913122	0.666422892757202	0.706726553885049	0.477343621363613	0.741656876997325	0.770470551738249	0.489087898991388	0.729835437591114	0.899953132658428	0.37742900523205	0.792487053756653	0.833832090497896	0.718140635100123	0.855907054314929	0.893517057406395	0.378445645617508	0.837256292611755	0.833403983333234	0.883723591997089	0.323719279413281	0.80872726655665	0.577517697817618	0.845003866443102	0.866499419495453	0.817331378430107	0.53473026463137	0.731986560538312	0.582444434084826	0.58014371832123	0.68419444075068	0.879107353910638	0.861237781169642	0.762772702515486	0.870678375885372	0.720317715164797	0.768813622245867	0.871507641369093	0.398590309418705	0.255069486874146	0.882680335313931	0.853882278750826	0.486363195810039	0.882271405860242	0.757720100024053	0.817335967632326	0.795582873853114	0.821424399635874	0.515260720404148	0.838730823374337	0.861004438457592	0.680328055720369	0.626376407660542	0.548866168331776	0.768165781591202	0.88303726735852	0.881336531247869	0.87296582674997	0.676282419007766	0.832097801126561	0.810203192145548	0.870065883639058	0.816709082723453	0.8860036938211	0.906577348331945	0.875910427452387
cg10768932	0.734630360988918	0.90437989577453	0.585159576129547	0.423221097214075	0.812666950437166	0.593658107624445	0.619786232250833	0.302953233366466	0.25818753073574	0.278286164343028	0.617381713219595	0.880848043270387	0.362756237704536	0.149270905611277	0.586292007235026	0.459131929861748	0.18085597379263	0.483258434760437	0.110539020354717	0.138442280508584	0.454335839084061	0.856238148611825	0.474273658468685	0.70170622949877	0.827300831504363	0.505164296652031	0.716822947057013	0.524488054222905	0.538265714021224	0.424189314811442	0.74550618564545	0.872907049438596	0.895859443642965	0.60322808320951	0.282652026271759	0.808094299412627	0.712368702104054	0.605645307678345	0.712591639328699	0.845061260864311	0.282755921455243	0.735592417497047	0.573370334972306	0.813442385664656	0.851051928942419	0.831530157697466	0.665254540087928	0.512071238508587	0.58646937328036	0.78097703998323	0.891791608585079	0.835229651976559	0.672823450025246	0.860637097973031	0.654594661470415	0.728614492956682	0.564217253005886	0.712392952156241	0.630471809904796	0.659814154965595	0.607690829256998	0.671246894036603	0.486143257169309	0.551975639346665	0.720523719961937	0.25122473329424	0.669269459200589	0.741057325745519	0.80078049310165	0.762245419373677	0.540009598896538	0.730876442478947	0.507370557446094	0.221746857260331	0.622190939253829	0.76201528604876	0.58584002787017	0.912336098905671
